model,effort,task,run_id,judged,combined_33,functional_pct,code_quality,reviewed_score,intent_recovery,muse_reviewed,grok_reviewed,solver_fallback,opus48_replies,all_replies,duration_s,raw_tokens,estimated_usd,solver_cli_version
opus55,extra-high,legacy-metercore-binary-parity,legacy-metercore-binary-parity-72773391,published,92.9812,100.00,82.8598,82.2917,84.3750,85.4167,79.1667,False,0,51,428.636,863398,1.237443,2.1.280 (Claude Code)
opus55,extra-high,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-d6510560,published,93.8690,100.00,87.7706,88.5417,85.7143,91.6667,85.4167,False,0,89,737.031,2322305,2.128777,2.1.280 (Claude Code)
opus55,extra-high,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-019239e6,published,86.5544,100.00,65.7468,65.6250,66.0714,60.4167,70.8333,False,0,92,910.04,4218048,3.627606,2.1.280 (Claude Code)
opus55,extra-high,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-ed401b27,published,93.5818,100.00,84.7727,87.5000,77.5000,83.3333,91.6667,True,40,71,1066.683,2013253,3.744474,2.1.280 (Claude Code)
opus55,extra-high,legacy-qlite-store-parity,legacy-qlite-store-parity-f5009b93,published,92.7506,100.00,82.5758,82.2917,83.3333,81.2500,83.3333,False,0,55,561.491,1318719,1.651174,2.1.280 (Claude Code)
opus55,extra-high,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-60e31186,published,89.8680,100.00,74.0260,75.0000,71.4286,75.0000,75.0000,True,77,119,1870.385,3909161,5.101736,2.1.280 (Claude Code)
opus55,extra-high,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-8c8c4bcd,published,92.0260,100.00,79.5455,77.0833,86.1111,72.9167,81.2500,False,0,44,473.636,728765,1.233664,2.1.280 (Claude Code)
opus55,extra-high,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-82306e3a,published,90.9852,100.00,76.5152,77.0833,75.0000,77.0833,77.0833,False,0,122,1184.832,3144708,2.987935,2.1.280 (Claude Code)
opus55,extra-high,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-ab040bc9,published,92.4055,100.00,82.2511,82.2917,82.1429,83.3333,81.2500,False,0,59,663.665,1206922,1.774510,2.1.280 (Claude Code)
opus55,extra-high,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-9f8bb25a,published,93.4020,100.00,84.8485,84.3750,86.1111,85.4167,83.3333,False,0,47,1140.241,1003965,1.843067,2.1.280 (Claude Code)
opus55,extra-high,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-18fe25dc,published,68.1124,50.00,82.8788,89.5833,65.0000,91.6667,87.5000,True,167,193,2582.561,7912228,8.165123,2.1.280 (Claude Code)
opus55,extra-high,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-caa37e7c,published,93.1179,100.00,83.2251,82.2917,85.7143,79.1667,85.4167,True,33,58,871.278,1462571,3.267833,2.1.280 (Claude Code)
opus55,extra-high,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-415be3d0,published,91.9333,100.00,79.4372,77.0833,85.7143,77.0833,77.0833,True,236,263,5166.342,20000376,19.690816,2.1.280 (Claude Code)
opus55,extra-high,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-858aec38,published,92.3066,100.00,80.5195,81.2500,78.5714,81.2500,81.2500,False,0,48,407.575,956464,1.364878,2.1.280 (Claude Code)
opus55,max,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-7dff172e,published,90.7460,100.00,75.4735,79.1667,65.6250,79.1667,79.1667,True,141,180,3592.114,9705761,11.410954,2.1.280 (Claude Code)
opus55,max,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-110ddf76,published,92.0554,100.00,81.4685,78.1250,90.3846,79.1667,77.0833,True,288,320,4088.764,19749656,19.089724,2.1.280 (Claude Code)
opus55,max,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-3e50e513,published,74.3577,60.00,87.1212,85.4167,91.6667,83.3333,87.5000,True,121,146,2141.203,5145017,7.048357,2.1.280 (Claude Code)
opus55,max,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-f34bff23,published,84.6399,100.00,59.6154,62.5000,51.9231,64.5833,60.4167,True,98,160,2417.803,9416651,10.710736,2.1.280 (Claude Code)
opus55,max,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-19fb67d1,published,93.3450,100.00,84.0909,81.2500,91.6667,77.0833,85.4167,False,0,223,1339.826,8699505,5.251891,2.1.280 (Claude Code)
opus55,max,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-6c3f25b3,published,88.8508,100.00,72.4942,70.8333,76.9231,72.9167,68.7500,True,291,314,4663.15,36029591,29.195428,2.1.280 (Claude Code)
opus55,max,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-c9c7a98b,published,92.4697,100.00,89.2045,87.5000,93.7500,87.5000,87.5000,True,144,178,2400.008,9693455,10.970069,2.1.280 (Claude Code)
opus55,max,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-a04384c4,published,91.5297,100.00,80.5785,75.0000,95.4545,79.1667,70.8333,False,0,167,3159.501,9744952,6.155427,2.1.280 (Claude Code)
opus55,max,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-8b55cd5a,published,93.5789,100.00,85.6061,86.4583,83.3333,87.5000,85.4167,True,63,116,2366.609,3975932,6.527844,2.1.280 (Claude Code)
opus55,max,legacy-metercore-binary-parity,legacy-metercore-binary-parity-786c724b,published,93.0318,100.00,82.6705,84.3750,78.1250,81.2500,87.5000,True,60,107,1542.273,2775097,4.441551,2.1.280 (Claude Code)
opus55,max,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-e718b1a3,published,93.4419,100.00,84.4156,81.2500,92.8571,83.3333,79.1667,False,0,128,1258.406,5429551,4.486749,2.1.280 (Claude Code)
opus55,max,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-fc032169,published,85.9098,100.00,63.2035,70.8333,42.8571,77.0833,64.5833,True,245,273,4254.485,22587774,21.782934,2.1.280 (Claude Code)
opus55,max,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-304d7aa4,published,91.0306,100.00,77.5000,81.2500,67.5000,79.1667,83.3333,False,0,161,1096.709,5352158,4.063347,2.1.280 (Claude Code)
opus55,max,legacy-qlite-store-parity,legacy-qlite-store-parity-ec9c6f86,published,93.3271,100.00,84.0909,82.2917,88.8889,83.3333,81.2500,False,0,100,860.581,3553489,3.335569,2.1.280 (Claude Code)
opus55,max,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-ddd9812f,published,88.2541,100.00,69.4805,68.7500,71.4286,66.6667,70.8333,False,0,125,1455.649,3468854,3.741311,2.1.280 (Claude Code)
opus55,max,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-8a555302,published,92.2819,100.00,80.3030,77.0833,88.8889,75.0000,79.1667,False,0,97,942.807,2814404,3.252570,2.1.280 (Claude Code)
opus55,max,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-a10efb1c,published,91.5747,100.00,80.3030,82.2917,75.0000,83.3333,81.2500,False,0,90,1148.781,2900583,3.328387,2.1.280 (Claude Code)
opus55,max,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-4703a1c4,published,93.6861,100.00,86.1472,82.2917,96.4286,81.2500,83.3333,False,0,131,1888.537,5183968,4.568192,2.1.280 (Claude Code)
opus55,max,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-ba2e56cf,published,93.2677,100.00,84.8485,81.2500,94.4444,83.3333,79.1667,True,77,163,1932.038,4574977,7.057966,2.1.280 (Claude Code)
opus55,max,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-49456bbd,published,91.6052,100.00,78.7879,80.2083,75.0000,81.2500,79.1667,False,0,112,1051.228,4266419,4.042180,2.1.280 (Claude Code)
opus55,max,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-9c9d10f1,published,94.0813,100.00,86.0390,87.5000,82.1429,89.5833,85.4167,True,44,85,1515.414,2398735,5.597558,2.1.280 (Claude Code)
opus55,max,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-fae1aca7,published,79.5269,75.00,80.3030,79.1667,83.3333,72.9167,85.4167,True,213,261,5590.489,20388979,21.805584,2.1.280 (Claude Code)
opus55,max,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-e2d22788,published,92.4622,100.00,80.9524,79.1667,85.7143,79.1667,79.1667,False,0,99,1059.189,2784904,3.339992,2.1.280 (Claude Code)
